Candidate,Belknap,Carroll,Cheshire,Coos,Grafton,Hillsborough,Merrimack,Rockingham,Strafford,Sullivan,Other,Total
Bush,"[3, ""MitchEPerry: @JebBush ad inserted in today's @USATODAY in New Hampshire https://t.co/67jlPoekLc\n"", ""michelledubert: Jeb Bush surprises voters at the Tilt'n Diner five days before the #nhprimary! @ Tilt'n Diner https://t.co/CvgLQhax1X\n""]",[0],"[2, 'StawceyBentlezz: From one Floridian to another, thank you Governor Jeb Bush for https://t.co/wPZY47SMu6\n', ""FolarinTheGreat: We will be the poster boys for Jeb Bush's Minority Campaign. @ C&amp;S Wholesale Grocers https://t.co/S9MJJlRJVc\n""]",[0],"[7, 'MegCarpenterTV: Packed house for #Jeb2016 @HanoverInn @WVNYWFFF https://t.co/mMXXK42DqG\n', 'MegCarpenterTV: @JebBush arrives @HanoverInn for #Jeb2016 https://t.co/W8ikGbPXU4\n', 'Redistrict: ""Put that in your pipe and smoke it, Jeb!"" Kasich exclaims to loud laughs and applause. Too bad I missed the context, but funny anyway.\n']","[38, 'williamtincup: Poor Jeb Bush... @ Amherst, New Hampshire https://t.co/mppGMQPPGu\n', ""GauntletFilms: Give the clap to Jeb!\nButtons made by the @benjmobile team this week after one of Jeb's speeches https://t.co/nwipwCVigA\n"", 'h_andersen: Ready for Jeb Bush Town Hall #usavalg #fitn2016 #nhprimary #allin4jeb @ Mckelvie Intermediate https://t.co/Krzz8tpGTv\n', 'LimOpinion: Here in Bedford, New Hampshire waiting for Jeb Bush to speak. #AUNH2016 @ Mckelvie Intermediate https://t.co/NzdtdknXxz\n', 'MitchEPerry: At @JebBush town hall in Bedford, NH, @LindseyGrahamSC says Dem candidates are so far left, ""They\'re in #SanFrancisco ""\n', 'kylevonende: Huge turnout (200+ stuck outside) for the Jeb Bush rally at McKelvie https://t.co/LZZBzCguxu\n', 'MitchEPerry: @JebBush says questions in tonight\'s GOP debate ""will probably be really stupid"". Hopes ABC moderators will prove him wrong #FlaPol #sayfie\n', ""MaraTheFree: A sea of people in Bedford, NH this morning welcoming Jeb. He's over https://t.co/sMSF3XinrR\n"", 'JudyBaldasaro: Preemptive strike to prevent nuclear weapons. #JebBush #GOPDebate\n', 'RealChrisEme: One on one with Jeb. #wsvn #newhampshire @ Saint Anselm College https://t.co/G2mGB2z7zP\n', 'MouniraDC: En attente pour #JebBush dans le #NewHampshire ce matin... Grand https://t.co/js9ebD604p\n', 'MouniraDC: #JebBush qui engueule un journaliste qui essayait de faire un https://t.co/rzre7800wS\n', 'MaraTheFree: Wow! Nashua out in full force for Jeb today. #nhpolitics #fitn https://t.co/ynEXfc6DDa\n', ""Timodc: Go Broncos. Go Jeb. @ddkochel @ Murphy's Taproom https://t.co/GcQwBkHpWw\n"", 'mollyhaigh: Bets on how much Jeb will pay per vote in NH? That #SB50 ad makes me guess more than $2k.\n', 'DraperRobert: Jeb! and Koch Bros! ads hitting @JohnKasich in NH for being an ""Obama Republican""\n', 'LimOpinion: ""Jeb couldn\'t get a job in politics if he tried. Those guys? They\'re U.S. government, not mine."" https://t.co/wIgeyPlzNr\n', 'ChanteeLans: #NewHampshire #primary #elections \n#JebBush campaigning @ Bedford High School (New Hampshire) https://t.co/5Yw3ZrCbmm\n', ""mollyhaigh: This giant 3d dice is from @JebBush. If they spend less than $3000 a vote I'll be shocked. #fitn #NHPrimary https://t.co/UybXwG6D3E\n"", 'mollyhaigh: This is a 3d, multipart mailer from @JebBush-- to an all Dem household. 4k per vote or bust? #fitn #NHPrimary https://t.co/Ys2UJ9xWOe\n', ""allisonbresnick: Live from Jeb's election night party. Check out the @huffpostpol FB page for our live stream https://t.co/6jyBaBFf6s\n"", ""allisonbresnick: Primary night at Jeb's HQ  @ Manchester Community College https://t.co/Aei77jUgRg\n"", ""WmShaw: (2 seconds before this photo)\nWill Shaw: Thank you for taking on Trump. \nJeb Bush: He's an https://t.co/Lvce99gEiS\n"", 'LimOpinion: Jeb Bush addresses primary night supporters in Manchester, NH. #AUNH2016 #NHPrimary #MySOC. @ https://t.co/uzLUtiog3n\n']","[5, 'Alli_Lahiff: John Ellis ""Jeb"" Bush visits CSC  @ Colby-Sawyer College https://t.co/AJdJflG8K0\n', 'Maddie_Marshall: On the trail with Jeb! (emphasis his) @ Globe Manufacturing https://t.co/E81RFAV6NV\n', ""ameliabeamer: Covering Jebas he tours and speaks at Globe Manufacturing's Pittsfield, NH plant where they https://t.co/Bp7z6GvB9c\n"", 'Philip_Elliott: Who does one ""Jeb!""? @ Abbott-Downing School https://t.co/bZgw5qWTmV\n', 'Philip_Elliott: Jeb (!) Bush town hall, Concord, N.H. #nh #fitn @ Abbott-Downing School https://t.co/8kDoAzMWUQ\n']","[9, 'MitchEPerry: @JebBush calls concern about GMO\'s a ""growing movement that I find intriguing.""\n', 'erikbergin: Jeb Bush at town hall meeting with voters in Salem, NH, trying to keep the momentum after a https://t.co/7C2g8j7F03\n', ""NeilACarousso: Reporting at Jeb Bush's #Salem #TownHall this morning #NHPrimary #politics @ Woodbury School https://t.co/anO8MNhYiN\n"", ""ameliabeamer: Final town hall for jebbush before tomorrow's NH primary! Wife Columba, son Jeb 2.0 in https://t.co/I8fAuWA0FQ\n"", 'JudyBaldasaro: @realDonaldTrump Jeb, so was Reagan !! Trump is the man we have been waiting for!! https://t.co/A8VMaR2xVo\n', 'gardeniagirl: #GOPDebate Jeb and  I miss Chris Christy.\n']",[0],"[2, 'andrewlamberson: Mark Sheppard of Newport, N.H., who just cast his ballot for #JebBush in the #NHprimary @ https://t.co/rj4HcotAjd\n']","[8, 'LowellCouncilor: https://t.co/0ICF0PgWlI -Goldman Sachs Is a Top Donor to Hillary Clinton, Jeb Bush, and Marco https://t.co/dFQJzBsR39\n', 'RevCamG: DebateReview: nice tie Christie Christie, best hair goes to Jeb!, and the reigning champ of biggest ears, Rubio, valiantly defends his title\n', 'crb0122: W: Jeb! Grab on to this. \nJ: W, that looks like an anchor.\nW: Nah its okay Karl Rove said this will help you.\nJ: K! https://t.co/euZsbr75Su\n', 'KelloggsJobs: Can you recommend anyone for this #job? Full Time Merchandiser/Territory... - https://t.co/uORDKlYsMT #StAlbans https://t.co/Jeb8yKuHij\n', 'joejustjoe: #GOPDebate like that Jeb has concrete and specific plans. Who knew?\n', 'joejustjoe: Is this 2003? Is the Donald running against George W or Jeb? #GOPDebate\n']",31341
Carson,[0],[0],[0],[0],"[2, ""Tommygreen18: @FoxBusiness @RealBenCarson absolutely correct Ben '\n""]","[8, 'LinzieJanis: Carson says ""I\'m not just here to add beauty to the stage"" abc News #GOPDebate @ Saint Anselm https://t.co/ojXf6SO0ET\n', 'JHall7news: Dr Ben Carson has secret service protection as he campaigns in Manchester at a diner. @ Airport https://t.co/rhFKlayi7C\n', 'Tommygreen18: @RealBenCarson Me too ""\n', 'stevenhaderer: I asked Dr. Ben Carson how he fits in the current #GOP. ""I don\'t fit https://t.co/tQ6x2a9yFT\n', 'OHKGrange: Grange Youth, Adam Hinshaw and Presidential Candidate, Dr. Ben Carson at National Grange https://t.co/0oucsFmYcy\n', 'Tommygreen18: @RealBenCarson what time ?\n']","[5, 'nhbizreport: #nhpolitics #Trump strong #Rubio surging #Cruz Carson fail  #Fiorina hope #Bush no hope #Kasich last stand #Christie back to NJ #Carson fade\n']",[0],[0],[0],"[6, ""CarsonMarieD: I'm at Hart's Local Grocers - @hartsgrocers in Rochester, NY https://t.co/TW2OtKpqNb\n"", 'crb0122: Hello. I was away for a minute and what did Ben Carson do that caused my TL to blow up?\n', 'crb0122: @ericibid maybe Fiorina and Carson?  I cant see Cardon doing better than he would have done in either Iowa or NH.\n', ""CarsonAmylea: Look mom I'm flying !! @ Houghton College https://t.co/oPKoGr7Xe7\n"", ""mattkyer: Drinking a Grapefruit Sculpin by @bpbrewing @ Carson's Woodside Tavern  https://t.co/r2OIU9RsUP\n""]",6527
Christie,[0],[0],"[2, 'MitchEPerry: @ChrisChristie speaking in town hall in Keane https://t.co/uxWoDHFlaA\n', ""MitchEPerry: @ChrisChristie just said that by 2020, 22 of New Jersey's electricity will come from solar power #FlaPol\n""]",[0],"[1, ""ngaffney: Chris Christie at Salt Hill, my local pub. Maybe I'm living under a NH rock, but this is the https://t.co/W1wwwXlBrX\n""]","[10, 'TheOtherKeppler: Chris Christie, unfiltered and #nofilter @ Students for Christie New Hampshire https://t.co/wTqVLtfwGD\n', 'iblamethedingos: At a Chris Christie event. @ Bedford, New Hampshire https://t.co/3lm3vUQtCT\n', 'jwolffnj: BEDFORD, N.H. -- Gov. Chris Christie, R-N.J., ""The longest week in politics [between Iowa and https://t.co/JTukv92jZg\n', 'ErikvanBruggen: Chris Christie was toe toe de meest redelijke kandidaat van allemaal #vs2016 #BKBacademie https://t.co/GskeJJxj3A\n', ""thecourier: Cake Boss says TV show airs in 220 countries before intro'ing @ChrisChristie (There are only 196 countries) #FITN https://t.co/1IQnOJTLyc\n"", 'MarkJRemillard: On the eve on the #newhampshire primary, NJ Gov. Chris Christie holds one last town hall. @ St. https://t.co/s3sOQpoWyu\n', 'stevenhaderer: New Jersey Governor Chris Christie at a town hall at St. George https://t.co/fqCvQZM5Lm\n', 'stevenhaderer: New Jersey Governor Chris Christie stayed true to his theme tonight https://t.co/bfunWyMG0Z\n', 'mikeassad: This is it, the final 90 minutes of @ChrisChristies political career have arrived. #nhprimary\n', 'mikeassad: If @ChrisChristie wanted New Hampshire to like him, he shouldnt have spent so much time there. #NHPrimary\n']",[0],"[7, 'gardeniagirl: Ready to vote for Chris Christie next Tuesday. Smart, strong, not crazy.\n', 'gardeniagirl: Ready to vote for #ChrisChristie next Tuesday. Smart,strong and not crazy.\n', 'gardeniagirl: @JohnKingCNN Yep, filtered  out inexperienced, fake, weak, humorless and crazy. Voting for #ChrisChristie.\n', ""gardeniagirl: @ChrisChristie Ready for your strength, your experience, your humor.  Sock it to'em but be nice. Knew you were the one after Portsmouth.\n"", 'demoncelery: Chris Christie got rul testy with me when I asked him a fairly innocuous question about https://t.co/9GKSD862tr\n', 'mebraden: Just scored some @ChrisChristie special blend coffee. @ Coffee Coffee https://t.co/2DbPTg8LUh\n', ""gardeniagirl: @ChrisChristie After his Portsmouth Town Hall I jusr couldn't vote for any of the others.\n""]",[0],"[3, 'kmerrill99: @ChrisChristie claws r out #GOPDebate\n', ""kmerrill99: @ChrisChristie and @marcorubio lmao!! #gopdebate Christie's going for it! I'm not listening but he's trying #trump2016\n"", 'kmerrill99: @ChrisChristie is going after @marcorubio tonight getting ##annoying almost #bullying #GOPDebate\n']",[0],21089
