Candidate,County,Number of Votes,Ten Percent of Vote,Tweet List
clinton,Clay,49%,Y,
clinton,Clayton,49%,Y,
clinton,Clinton,49%,Y,
clinton,Crawford,45%,Y,
clinton,Dallas,57%,Y,"[""Bertine83: 'In your heart you know, whether you have decided yet or not, you can't wait to see me debate @HillaryClinton' - @CarlyFiorina #Iowa2016\n"", ""Bertine83: 'In your heart you know, whether you have decided yet or not, you can't wait to see me debate @HillaryClinton' - @CarlyFiorina #Iowa2016\n"", ""Bertine83: 'In your heart you know, whether you have decided yet or not, you can't wait to see me debate @HillaryClinton' - @CarlyFiorina #Iowa2016\n"", ""Bertine83: 'In your heart you know, whether you have decided yet or not, you can't wait to see me debate @HillaryClinton' - @CarlyFiorina #Iowa2016\n""]"
clinton,Davis,58%,Y,
clinton,Decatur,50%,Y,
clinton,Delaware,55%,Y,
clinton,Des Moines,47%,Y,
clinton,Dickinson,49%,Y,
clinton,Dubuque,52%,Y,
clinton,Emmet,56%,Y,
clinton,Fayette,53%,Y,
clinton,Floyd,57%,Y,"[""jenhanlonash: I'm Hillary Clinton and I approve of this #familygamblingnight! #4generations #familybonding https://t.co/dOW1CimsTs\n""]"
clinton,Franklin,57%,Y,
clinton,Fremont,44%,Y,
clinton,Greene,54%,Y,
clinton,Grundy,47%,Y,
clinton,Guthrie,55%,Y,
clinton,Hamilton,59%,Y,
clinton,Hancock,61%,Y,
clinton,Hardin,58%,Y,
clinton,Harrison,45%,Y,
clinton,Henry,50%,Y,
clinton,Howard,46%,Y,
clinton,Humboldt,56%,Y,
clinton,Ida,53%,Y,
clinton,Iowa,51%,Y,
clinton,Jackson,50%,Y,
clinton,Jasper,52%,Y,
clinton,Jefferson,27%,Y,['markhcohen: Former #presidentclinton in Fairfield. #hillary2016 Let the caucuses begin! #thisisiowa @ https://t.co/Ry6JMKwGeP\n']
clinton,Johnson,40%,Y,"['earthy: hillaryclinton bernie.sanders.for.president #BERNEMGOOD @ Bernie Sanders for President - Iowa https://t.co/DKZiphO1Kf\n', 'earthy: hillaryclinton bernie.sanders.for.president #BERNEMGOOD @ Bernie Sanders for President - Iowa https://t.co/DKZiphO1Kf\n', 'earthy: hillaryclinton bernie.sanders.for.president #BERNEMGOOD @ Bernie Sanders for President - Iowa https://t.co/DKZiphO1Kf\n', 'dakotajthomas: Volunteering for hillaryclinton his weekend trying to https://t.co/EBspXb30Jh\n']"
clinton,Jones,47%,Y,
clinton,Keokuk,63%,Y,
clinton,Kossuth,61%,Y,
clinton,Lee,55%,Y,
